"code","college","budget_deck","division_code","campus_code"
"999","Test College","Test Deck","DIV01","11"
"BAGCED","Br. Andrew Gonzalez College of Education","BAGCED Deck","DIV01","11"
"CCS","College of Computer Studies","CCS Deck","DIV01","11"
"CLA","College of Liberal Arts","CLA Deck","DIV01","11"
"COB","Ramon V. del Rosario College of Business","COB Deck","DIV01","11"
"COL","College of Law","COL Deck","DIV01","11"
"COS","College of Science","COS Deck","DIV01","11"
"GCOE","Gokongwei College of Engineering","GCOE Deck","DIV01","11"
"GSB","Graduate School of Business","GSB Deck","DIV01","11"
"IGSP","La Salle Institute for Governance and Strategic Policy","IGSP Deck","DIV01","11"
"JMRIG","Jesse M. Robredo Institute of Governance","JMRIG Deck","DIV01","11"
"SOE","School of Economics","SOE Deck","DIV01","11"
